Pclass,Sex,Age,SibSp,Parch,Embarked,Survived Gerçek,Survived Tahmin
3,0,-1.83957394584738,3,1,2,0,0
3,0,-1.7014786417889174,4,2,2,1,0
2,1,0.16280796300032965,1,0,2,1,0
3,1,-0.6657638613504469,0,0,2,0,0
1,1,2.8556663921403533,0,0,0,0,0
2,0,1.7509039596726512,0,0,2,1,1
3,1,-0.8038591654089096,1,1,2,0,0
2,1,-1.83957394584738,1,1,2,1,1
3,0,0.9223321353218747,1,6,2,0,0
1,1,2.1651898718480393,0,0,2,0,0
2,0,0.8532844832926434,1,0,2,1,1
1,1,0.6461415272049492,0,0,2,0,0
2,1,-1.4943356857012233,1,1,2,1,1
1,0,1.4056656995264942,0,0,0,0,1
3,1,-0.527668557291984,0,0,2,0,0
2,0,0.7151891792341806,0,0,2,1,1
2,1,0.3009032670587924,0,0,2,1,0
3,1,0.09376031097109827,0,0,1,0,0
1,0,1.9580469157603453,0,0,2,1,1
3,1,-0.32052560120428997,0,0,2,0,0
3,1,0.231855615029561,1,1,2,0,0
1,0,1.6818563076434199,1,0,0,1,1
2,0,-1.7705262938181487,1,1,2,1,1
3,1,-0.9419544694673723,0,0,2,0,0
1,0,-0.8038591654089096,1,0,0,1,1
3,1,0.16280796300032965,0,0,2,1,1
1,1,2.234237523877271,0,0,2,0,0
3,0,-0.527668557291984,0,0,2,0,0
2,1,-0.4586209052627527,0,0,2,0,0
3,1,-1.9776692499058428,5,2,2,0,0
3,1,-0.32052560120428997,0,0,2,0,0
2,1,1.5437610035849572,0,0,2,0,0
2,1,-0.8038591654089096,0,0,2,0,0
3,1,-0.527668557291984,0,0,2,0,0
1,1,2.372332827935734,0,0,2,0,0
1,0,0.9913797873511061,0,1,0,1,1
3,1,0.5080462231464865,2,0,2,0,0
1,1,0.5080462231464865,0,1,0,0,1
3,1,-0.8038591654089096,0,0,2,0,0
2,0,0.09376031097109827,1,1,2,1,1
1,0,-0.8729068174381409,1,0,2,1,1
3,1,0.09376031097109827,0,0,2,1,0
1,0,-0.3895732532335213,0,0,0,1,1
1,1,0.7151891792341806,0,0,0,1,0
2,0,-0.11338264511659583,1,0,2,1,1
2,0,-1.080049773525835,1,0,0,1,1
3,1,1.4747133515557256,0,0,2,0,0
1,1,-0.3895732532335213,0,1,0,0,1
3,1,-0.9419544694673723,0,0,2,0,0
1,1,1.5437610035849572,0,0,2,1,0
3,0,-0.1824302971458272,0,2,2,1,1
1,1,0.5770938751757179,0,1,2,0,0
3,1,0.9913797873511061,0,0,2,0,0
1,1,2.234237523877271,0,0,2,0,0
3,1,-0.11338264511659583,2,0,2,0,0
2,0,0.3009032670587924,1,1,2,1,1
2,1,1.888999263731114,0,0,1,0,0
3,0,-0.8038591654089096,0,0,2,0,1
3,1,-0.4586209052627527,0,0,2,0,0
3,1,-0.32052560120428997,1,0,2,0,0
3,1,0.6461415272049492,0,0,2,0,0
3,1,0.16280796300032965,0,0,2,0,1
3,1,-0.7348115133796782,0,0,2,0,0
3,0,-0.4586209052627527,0,0,2,1,0
2,0,-0.11338264511659583,0,0,2,1,1
3,0,-1.0110021214966036,1,0,0,1,0
3,0,0.024712658941866902,0,0,2,0,1
3,1,2.8211425661257374,0,0,1,0,0
3,1,0.36995091908802374,0,0,0,0,0
3,1,-0.044334993087364466,0,0,2,0,0
3,1,0.9913797873511061,0,1,2,0,0
3,0,-0.32052560120428997,0,0,2,0,1
3,1,-0.32052560120428997,0,0,2,0,0
3,1,0.43899857111725515,0,0,2,0,0
3,1,-1.7705262938181487,4,1,1,0,0
